Position,Location,Gender,Education,Experience (Years),Salary
QNXT Configuration QA/Testing SME,Ghaziabad,Female,B.Tech/B.E.,11,2014.51
Provider Data Management,New Delhi,Female,B.Tech/B.E.,24,1624.349
Accessibility Engineer QA,Noida,Female,BCA,25,1926.223
Java Developer/Spring Boot,Meerut,Male,B.A,11,1128.404
iOS Tester,Padampur,Female,B.Com,15,2090.495
GCP Cloud Architect,New Delhi,Male,B.Tech/B.E.,21,1399.85
Technical Project Manager Remote,Pune,Male,BCA,8,881.054
Provider Data Setup,Kannur,Female,BCA,20,1486.474
iOS Tester,Gurugram,Female,B.Tech/B.E.,20,1981.284
Technical Lead(Data ADF),Pune,Male,Diploma,7,694.269
System Engineer,Hubli,Male,B.Com,24,2492.39
Sr. Tableau or Power BI Developer,Kolkata,Female,Diploma,24,582.995
Sr. Tableau or Power BI Developer,New Delhi,Male,BCA,16,1138.897
Sr. Tableau or Power BI Developer,Gurugram,Male,B.Tech/B.E.,21,1663.913
Sr. Tableau or Power BI Developer,Prayagraj,Female,BCA,15,1882.207
Android Tester,Ghaziabad,Male,B.Sc,24,2137.415
Sr. Data Ingestion/Analytics Engineer,Ranchi,Female,B.Tech/B.E.,15,1942.468
Sr. Data Ingestion/Analytics Engineer,Bengaluru,Female,B.Sc,19,2377.621
 Product Technical Specialist,Warangal,Female,B.Com,28,906.029
 Product Technical Specialist,Pune,Male,B.Tech/B.E.,7,1952.392
 Product Technical Specialist,Hyderabad,Male,B.Tech/B.E.,17,1268.457
 Product Technical Specialist,Gurugram,Male,B.A,26,1554.65
Data Architect,Bengaluru,Female,B.Sc,23,944.251
QA Tester /Selenium,Noida,Male,BCA,16,1131.786
Cloud Architect,Gurugram,Male,B.Com,20,1229.396
Cloud Architect,Lucknow,Male,B.Tech/B.E.,20,2401.878
DevOps Eng,Faridabad,Male,B.Com,20,888.627
Data Architect,Guwahati,Male,Diploma,25,856.561
Tapestry Manager of Configuration,Kanpur,Male,BCA,18,775.746
QNXT Configuration SME,Bengaluru,Male,B.Tech/B.E.,14,1655.336
"Sr. software engineer/.Net,Azure",Noida,Male,B.A,19,2394.902
"Sr. software engineer/.Net,Azure",Diva - Maharashtra,Female,B.A,28,2045.34
Facets SME,Gurugram,Female,B.A,14,2192.007
Facets SME,New Delhi,Male,B.Tech/B.E.,21,2412.119
Senior Business Analyst,Kolkata,Male,BCA,21,1378.477
Claims SME,Visakhapatnam,Male,B.Sc,6,1445.309
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Tech/B.E.,11,2249.198
Senior Data Program Manager,New Delhi,Male,BCA,8,2476.813
